X,Y
72, 386
438, 245
397, 88
785, 452
758, 162
16, 84
395, 499
320, 91
1141, 232
716, 51
665, 148
1142, 275
394, 333
713, 477
1256, 24
1126, 310
959, 73
17, 77
283, 476
486, 13
42, 336
1079, 199
439, 331
1255, 348
834, 391
1470, 161
400, 83
19, 344
1352, 333
1489, 64
681, 31
1451, 160
353, 242
1262, 494
1424, 59
77, 73
750, 388
787, 394
257, 391
1048, 279
1461, 90
429, 70
1116, 173
1153, 417
790, 123
35, 298
725, 476
1095, 79
791, 31
411, 362
1238, 476
779, 173
1482, 211
1152, 455
28, 195
646, 64
1497, 317
668, 385
1459, 365
786, 486
1114, 368
376, 137
415, 399
1151, 48
29, 102
722, 169
790, 63
662, 51
780, 239
1147, 468
375, 423
63, 186
1381, 396
740, 8
672, 387
1113, 377
1462, 252
779, 297
429, 419
788, 397
744, 329
806, 218
728, 116
816, 163
136, 354
1351, 425
1469, 125
696, 105
1196, 132
764, 424
78, 257
81, 429
837, 405
822, 204
1436, 123
1084, 375
11, 201
1462, 473
1124, 325
74, 426
744, 198
52, 483
309, 334
1140, 222
35, 399
1153, 34
1035, 439
742, 252
586, 455
413, 449
700, 466
717, 403
75, 465
656, 364
42, 469
304, 211
1146, 252
1102, 236
1050, 160
295, 348
751, 202
125, 365
802, 75
15, 74
1076, 366
293, 443
732, 207
413, 147
799, 15
1094, 187
1102, 61
1498, 53
1153, 189
360, 98
45, 62
690, 17
657, 158
1085, 60
775, 315
444, 118
357, 13
727, 71
44, 351
776, 168
67, 391
994, 68
3, 360
336, 78
773, 202
1129, 429
1431, 124
407, 451
405, 133
828, 71
820, 283
525, 48
749, 86
285, 397
67, 332
1386, 193
422, 183
467, 283
1439, 273
1051, 417
814, 232
701, 202
1057, 139
1224, 423
453, 139
965, 417
1136, 358
65, 399
324, 251
441, 44
1443, 413
24, 138
48, 351
23, 194
1449, 245
45, 377
287, 205
395, 89
1137, 237
1166, 344
1155, 350
690, 248
1092, 315
333, 24
1025, 145
1069, 359
1439, 78
373, 97
872, 353
1025, 384
17, 101
1265, 231
782, 47
644, 192
1464, 351
1018, 411
1469, 136
278, 393
1225, 482
1412, 325
1491, 330
1200, 226
99, 137
1467, 227
1045, 40
790, 281
424, 249
725, 355
346, 159
17, 239
1113, 267
25, 193
819, 335
141, 305
1263, 38
285, 405
1109, 15
729, 109
346, 32
1044, 26
1084, 475
763, 270
719, 176
780, 346
419, 377
45, 339
741, 40
1056, 422
60, 354
410, 224
84, 449
4, 206
680, 343
1234, 499
1174, 298
1460, 392
432, 135
1123, 333
777, 283
79, 415
502, 123
717, 188
26, 360
832, 240
1419, 278
1490, 273
404, 488
682, 243
762, 424
1166, 221
1422, 5
740, 254
1445, 222
335, 449
339, 159
727, 461
607, 414
800, 487
1035, 49
840, 87
50, 438
1021, 24
649, 55
1427, 238
1438, 190
1109, 30
863, 412
1101, 279
420, 331
1433, 333
1189, 248
1483, 433
1447, 245
130, 277
404, 176
368, 125
737, 65
1238, 247
991, 238
429, 96
1137, 372
55, 218
286, 131
389, 275
629, 17
850, 214
57, 483
350, 218
1045, 9
454, 85
807, 287
1128, 306
86, 313
1447, 36
21, 181
1106, 96
50, 448
125, 315
1055, 302
317, 156
521, 416
804, 279
108, 15
833, 15
1479, 227
1442, 289
789, 280
1174, 150
1421, 217
1469, 498
1489, 237
759, 260
1445, 35
444, 235
1192, 263
1494, 385
742, 388
152, 266
773, 55
429, 302
1043, 419
653, 153
48, 90
1472, 426
463, 346
59, 361
1369, 314
0, 170
79, 195
798, 217
315, 216
490, 7
332, 493
712, 95
1454, 163
335, 96
1465, 479
792, 386
409, 99
713, 256
43, 400
380, 281
419, 88
1082, 74
470, 141
46, 32
1182, 166
1134, 195
93, 497
25, 115
363, 268
1450, 227
822, 364
464, 36
764, 422
1481, 192
755, 145
275, 423
371, 387
1408, 156
37, 121
789, 90
1102, 262
462, 192
1150, 386
886, 317
428, 13
735, 162
640, 213
998, 358
28, 184
1446, 377
1189, 47
63, 386
384, 56
658, 451
76, 484
488, 132
857, 257
406, 24
375, 185
125, 440
1402, 272
46, 73
437, 348
365, 223
1144, 476
1208, 136
1442, 477
1473, 19
1077, 191
1173, 211
421, 241
648, 18
665, 330
752, 299
776, 336
1466, 136
1421, 286
1109, 475
1117, 321
452, 366
521, 356
726, 14
1495, 256
413, 25
105, 327
756, 185
74, 21
129, 497
1382, 459
273, 391
774, 87
1463, 373
1032, 294
1440, 487
1038, 27
1049, 134
16, 157
785, 476
1206, 48
726, 366
787, 451
685, 361
1452, 436
355, 124
905, 313
697, 445
1059, 94
1130, 2
1236, 282
246, 80
712, 447
1359, 417
787, 196
1419, 427
1119, 398
690, 304
49, 331
20, 360
226, 435
388, 232
1130, 405
1172, 56
65, 153
785, 429
397, 152
470, 308
1119, 17
731, 119
1213, 65
1260, 102
1447, 327
486, 362
1380, 463
390, 346
1155, 115
1460, 230
769, 359
1140, 73
1060, 468
1061, 196
1197, 166
439, 392
378, 387
1128, 37
1076, 425
1035, 317
665, 396
1116, 321
322, 263
356, 278
838, 380
1494, 96
682, 207
811, 280
1094, 11
1115, 182
456, 44
649, 364
1454, 349
390, 329
1078, 117
332, 183
1417, 134
1492, 88
331, 381
76, 172
1493, 478
395, 413
125, 420
1157, 50
1407, 425
406, 32
469, 65
713, 98
693, 255
692, 270
792, 383
434, 125
1222, 348
966, 175
1458, 282
2, 192
406, 102
893, 402
391, 347
1452, 412
1454, 42
421, 441
796, 298
40, 361
849, 18
248, 40
1186, 405
661, 289
1484, 500
1017, 337
683, 467
385, 53
796, 319
840, 7
1043, 329
226, 41
881, 285
643, 388
435, 370
421, 46
1016, 134
1472, 483
276, 341
398, 62
320, 323
15, 129
778, 39
427, 415
433, 49
1075, 203
1413, 82
400, 32
1100, 110
376, 446
277, 83
1070, 322
1099, 173
52, 470
323, 367
1137, 405
721, 329
1460, 193
727, 261
1154, 60
6, 237
406, 328
1133, 420
378, 433
1475, 34
1181, 38
618, 441
1406, 130
412, 287
1470, 268
414, 304
1481, 121
302, 111
396, 369
1248, 366
822, 214
831, 101
757, 48
66, 105
407, 302
1113, 438
262, 247
783, 424
419, 225
714, 454
1479, 132
671, 2
792, 95
340, 61
793, 210
1206, 306
1075, 464
745, 321
472, 234
391, 241
1390, 435
379, 431
399, 15
460, 368
750, 52
419, 266
3, 312
1486, 379
1127, 471
1460, 358
306, 240
763, 320
700, 204
333, 32
837, 142
312, 82
1462, 176
1252, 402
316, 178
41, 104
1252, 139
1121, 233
715, 154
1162, 298
1494, 231
672, 474
1186, 29
1080, 150
1118, 141
123, 439
857, 188
735, 344
1169, 492
5, 65
1482, 180
440, 269
423, 403
300, 108
814, 15
1487, 353
1110, 103
288, 277
1154, 48
472, 320
402, 368
714, 430
1476, 350
476, 373
847, 56
622, 20
1392, 383
1178, 332
427, 461
415, 295
660, 151
274, 304
1163, 145
735, 366
468, 105
76, 327
734, 439
422, 4
368, 260
1008, 440
450, 415
1073, 95
1093, 171
694, 52
350, 223
389, 58
1231, 21
1154, 386
406, 371
329, 251
431, 446
1098, 482
1465, 211
89, 436
759, 85
779, 54
701, 430
725, 6
75, 178
479, 316
356, 334
1156, 500
302, 355
753, 433
845, 439
1194, 79
771, 63
1189, 413
1170, 434
741, 107
752, 394
684, 68
1421, 483
287, 17
12, 152
838, 392
1120, 144
779, 229
267, 134
447, 379
764, 437
91, 352
769, 202
149, 374
1484, 323
1071, 54
324, 264
1085, 329
1474, 380
1174, 124
1031, 260
9, 294
353, 90
1365, 438
672, 247
784, 373
765, 203
339, 70
1186, 14
625, 420
1116, 311
23, 440
1483, 421
1164, 343
1074, 211
1405, 407
1167, 100
1166, 220
70, 13
1423, 230
1157, 269
1407, 160
438, 258
1125, 117
1199, 199
154, 407
387, 34
31, 146
767, 374
1432, 185
1028, 95
1187, 319
1230, 233
1495, 309
1200, 10
743, 104
335, 340
22, 264
